Filtered 7000 forks: 1087 included, 0 private excluded, 5913 no commits excluded

Detailed for virattt/ai-hedge-fund
================================================================================
                                 Detailed Forks (1087 active forks with exact commit counts) (showing 1000 recent commits)                                 
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ URL                                                           ┃    Stars ┃    Forks ┃         Commits ┃ Last Push      ┃ Recent Commits                 ┃
│ https://github.com/agenticassets/ai-hedge-fund                │        0 │        0 │              +1 │ 3 weeks ago    │ No commits available           │
│ https://github.com/Lukie88/ai-hedge-fund-real                 │        0 │        0 │              +1 │ 3 weeks ago    │ No commits available           │
│ https://github.com/mitro123/ai-hedge-fund                     │        0 │        0 │              +1 │ 5 days ago     │ No commits available           │
│ https://github.com/Itsdex47/ai-hedge-fund                     │        0 │        0 │              +1 │ 4 weeks ago    │ No commits available           │
│ https://github.com/carmandale/ai-hedge-fund                   │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/be-digital-it/ai-hedge-fund                │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/tiger2014/ai-hedge-fund                    │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/Agege88/ai-hedge-fund                      │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/YifanHere/AI-Hedge-Fund-ZH                 │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/Ivan494/ai-hedge-fund                      │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/Sclipper/hyperion-hedge-fund               │        0 │        0 │              +1 │ 4 weeks ago    │ No commits available           │
│ https://github.com/zwldarren/ai-hedge-fund                    │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/wjmediadesign/monarch                      │        0 │        0 │              +1 │ 3 weeks ago    │ No commits available           │
│ https://github.com/jacoagency/ai-hedge-fund                   │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/shaunporwal/ai-hedge-fund                  │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/PortalPuncher/ai-hedge-fund                │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/Elmata2/ai-hedge-fund                      │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/fancasey/ai-hedge-fund                     │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/fellipesaraiva88/ai-hedge-fund             │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/KamaalWalker/ai-hedge-fund                 │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/dai2330/ai-hedge-fund                      │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/SourceShift/hedgey                         │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/JustAZhang/FundMind                        │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/wuqunfei/ai-hedge-fund                     │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/sjdthree/ai-hedge-fund                     │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/daryllundy/ai-hedge-fund                   │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/lschwob/ai-hedge-fund                      │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/themtok/ai-hedge-fund                      │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/bbbb520-yh/ai-hedge-fund                   │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/timothycoda/ai-hedge-fund                  │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/arman-tech/ai-hedge-fund                   │        0 │        0 │              +1 │ 1 month ago    │ No commits available           │
│ https://github.com/lmatlogela/ai-hedge-fund                   │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/weirdapps/ai-hedge-fund                    │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/armand0e/ai-hedge-fund                     │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/ymaha2025/ai-hedge-fund                    │        0 │        0 │              +1 │ 2 months ago   │ No commits available           │
